1	11166592	11322608
1	20246502	20250110
1	20301924	20306927
1	20396687	20418404
1	20438432	20446029
1	20465816	20476874
1	20489548	20513011
1	24117635	24122029
1	53662496	53679869
1	68522088	68609384
1	76190394	76229364
1	111682121	111727726
1	114471946	114520491
1	154298001	154323780
1	186798081	186958113
1	203148059	203155832
1	206808881	206828503
1	221874766	221915431
1	227177559	227506193
2	11319885	11485563
2	27440237	27466811
2	27604066	27632458
2	28718927	28867008
2	44396014	44461785
2	47387221	47404075
2	65215613	65250999
2	65537985	65659733
2	158592958	158732842
2	162999392	163008757
2	168810532	169104105
2	175936987	176032931
2	201717732	201729381
2	231577557	231685790
3	30647848	30735634
3	38207028	38296975
3	48894359	48936315
3	53195225	53226733
3	119540168	119813294
3	145910122	145968892
3	146109207	146213778
3	146232967	146262394
3	146294342	146323133
3	171318194	171528273
3	182511292	182639417
3	184032394	184053146
3	195961239	196014597
3	197236654	197300214
4	952675	967357
4	39699756	39784412
4	42410390	42659122
4	47487292	47595503
4	76781020	76823605
4	89178772	89205713
4	108745719	108836203
4	110631145	110651226
4	110834039	110934922
4	114372188	114682894
4	155661990	155674272
4	159593448	159630775
5	1461542	1524075
5	125877533	125930911
5	133530023	133561764
5	149599054	149669693
5	150226083	150281964
5	159990127	160279218
5	172195099	172198198
6	31633857	31637844
6	43211219	43255996
6	80714366	80752244
7	87031012	87104996
7	97736174	97838950
7	139246316	139477797
7	150750902	150754984
7	151253213	151574200
8	9413422	9639856
8	21906442	21940036
8	22570764	22798590
8	30643132	30670334
8	39771410	39786309
8	48685672	48872696
8	54955547	55014507
8	90770044	90803292
8	94929151	94938296
8	97274130	97349223
8	99114572	99129399
9	71069743	140999928
9	101865929	101916474
9	131857073	131873072
10	4868369	4890254
10	34398489	35104224
10	49514720	49647403
10	52065360	52383716
10	62538089	62554610
10	70587288	70655188
10	74033682	74035794
10	74694520	74714564
10	103544207	103578201
10	112257665	112271291
11	5617341	5634182
11	11373489	11374904
11	33278218	33378569
11	57067116	57092426
11	62186505	62190667
11	63606582	63678492
11	64590524	64612125
11	67033944	67054027
11	67165654	67169329
11	67259239	67272834
11	67820326	67888855
11	68522088	68609384
11	75428883	75443998
11	116660083	116663136
11	118398187	118401912
11	125495031	125546150
12	861745	1020618
12	4671374	4723041
12	7085347	7125780
12	40734169	40734235
12	52345483	52390862
12	53873453	53893242
12	64845900	64895894
12	68042525	68059186
12	102091418	102122852
12	113830250	113841692
12	113860185	113876081
12	118573929	118583389
12	120123595	120315095
12	120759918	120765582
12	121416346	121440315
12	123468027	123635637
12	132379167	132407695
12	133287428	133299320
13	25946112	26599989
13	80910111	80915261
13	113344352	113541482
14	24674902	24677454
14	30045685	30397053
14	60712468	60765805
14	90862846	90874612
14	103398717	103523886
14	105112467	105285280
14	105391216	105404122
15	23285775	30386399
15	38544527	38649450
15	42131045	42140341
15	42273780	42342901
15	42359207	42386760
15	42431232	42448834
15	50150435	50411430
15	81244112	81244112
16	102839	28327676
16	337440	402723
16	2588022	2653189
16	14766405	14788430
16	20344373	20364037
16	23690210	23701688
16	55542984	55620578
16	58191811	58231824
16	67973653	67978023
16	68279276	68294961
16	89753097	89762762
17	1397865	1420182
17	1421012	1466086
17	4710447	4726725
17	6354583	6459875
17	7293046	7297844
17	17104309	17109647
17	17408877	17495022
17	26369703	26523407
17	30818271	30818271
17	43186327	43209882
17	53828412	53900498
17	56833215	57062540
17	58677554	58743641
17	64298731	64806861
17	74379285	74383936
17	78518638	78940168
18	18526867	18691774
18	46446223	46477335
18	55313658	55470547
18	60790579	60987002
19	827837	832018
19	1205777	1228430
19	1782074	1812275
19	7623800	7623866
19	10332109	10342007
19	14202500	14228574
19	39369195	39390258
19	40221895	40228669
19	40315990	40324802
19	40697333	40721482
19	40854602	40884392
19	40885178	40896088
19	42734342	42746754
19	44126520	44144002
19	45992035	46005768
19	46282695	46289231
19	46850344	46894232
19	47104331	47114039
19	47177573	47220371
19	48551103	48614074
20	459116	524465
20	30407159	30422487
20	44527259	44540794
20	50213053	50384929
20	55841697	55841697
20	61904165	61921142
21	27264096	27264096
21	38737875	38898660
22	22273798	22307220
22	28247657	28315244
22	31048038	31063862
22	31530793	31536494
22	38203941	38213190
22	38507502	38577837
23	24576204	24691004
23	54219256	54384479
23	70586207	70750375
23	111017543	111326004
23	138808507	139015212
